City,System Type,Year,SQFT,HF Used,HF w/Retro,kWh/yr,kWh/yr w/ retro,Implementation Cost,HR gallons,Steam District,HR Installed,Biomass
Twin Hills,Pressure/Gravity,2010,2048,999,841,13723,5012,42667,0,0,FALSE,FALSE
Two Rivers,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Tyonek,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Unalakleet,Circulating/Gravity,2010,,,,,,,,,FALSE,FALSE
Unalaska,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Upper Kalskag,Wells/Gravity,2010,30,,,26700,8478,20200,,,FALSE,FALSE
Valdez,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Venetie,Washeteria,2010,,,,,,,,,FALSE,FALSE
Voznesenka,Pressure/ST/DF,2010,,,,,,,,,FALSE,FALSE
Wainwright,Circulating/Gravity,2010,14501,,,262230.3601,,,,,FALSE,FALSE
Wales,Washeteria,2010,,,,,,,,,FALSE,FALSE
Whale Pass,None,2010,,,,,,,,,FALSE,FALSE
White Mountain,Circulating/Gravity,2010,,,,,,,,,FALSE,FALSE
Whittier,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Womens Bay,Unknown,2010,,,,,,,,,FALSE,FALSE
Wrangell,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Yakutat,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
